language	role	voice_id	display_name	clip_count	chars_per_sec	ratio_to_median
ukr	target1	azure_uk-UA-PolinaNeural		4475	10.162	1.098
ukr	target1	uk-UA-PolinaNeural	Polina	304	9.252	1.000
ukr	target1	uk-UA-OstapNeural	Ostap	243	8.814	0.953
ukr	target2	azure_uk-UA-OstapNeural		4367	9.881	1.000
ur	known	ur-PK-UzmaNeural		152	10.283	1.000
urd	known	azure_ur-PK-UzmaNeural		8814	9.789	1.000
urd	pod_explainer	ur-PK-UzmaNeural		315	8.491	1.000
urd	presentation	azure_ur-PK-UzmaNeural		2324	11.805	1.000
zh	pod_explainer	comp:leo		492	12.685	1.182
zh	pod_explainer	gfzdpspr5fdp	Tom	434	8.784	0.818
zh-CN	pod_take_g	ara	Ara	196	7.484	1.069
zh-CN	pod_take_g	jpi39icg	Jian	174	6.519	0.931
zho	encouragement	elevenlabs_pTOe8BQRdydOEIgv0wFL		240	3.193	1.000
zho	instruction	elevenlabs_pTOe8BQRdydOEIgv0wFL		240	3.204	1.000
zho	known	zh-CN-XiaochenNeural	Xiaochen	2331	12.725	1.362
zho	known	azure_zh-CN-XiaochenNeural		1140	5.960	0.638
zho	presentation	azure_zh-CN-XiaochenNeural		3885	3.725	1.000
zho	target1	xai_ara		253	5.219	1.221
zho	target1	azure_zh-CN-XiaoxiaoMultilingualNeural		155	3.329	0.779
zho	target2	xai_leo		242	5.207	1.178
zho	target2	azure_zh-CN-YunyiMultilingualNeural		156	3.630	0.822
